Number,Gene Name
289, SH2D4B 
290, SSH2 
291, CDC42BPA 
292, MTMR2 
293, SMYD4 
294, YEATS2 
295, IDE 
296, ITK 
297, CTNND2 
298, MCM8 
299, GGH 
300, EYA4 
301, RALGPS2 
302, SRBD1 
303, NUP85 
304, ERBB2IP 
305, KCNJ6 
306, NEBL 
307, TXNDC11 
308, ABCA12 
309, KCNMA1 
310, WDR59 
311, NRP1 
312, RIPK1 
313, SPIRE1 
314, RBM17 
315, NDUFS3 
316, COL3A1 
317, SLC26A7 
318, ACBD6 
319, UNC13C 
320, PHF3 
321, SEL1L 
322, DTWD2 
323, LCA5 
324, GLT8D4 
325, YTHDC2 
326, PDGFRA 
327, SLC1A1 
328, C10orf134 
329, SNX25 
330, NRCAM 
331, SMC5 
332, PDE4B 
333, SCARB2 
334, NUBPL 
335, DNTT 
336, KLHL8 
337, TTPAL 
338, C11orf82 
339, SERAC1 
340, ERC1 
341, DNM1L 
342, ALG14 
343, R3HDM1 
344, SPTAN1 
345, ACPP 
346, PIGA 
347, C14orf101 
348, OTC 
349, PLAA 
350, ASB3 
351, PLXDC2 
352, CD44 
353, GUCY1B3 
354, WDR91 
355, DCLRE1C 
356, BLMH 
357, GPAM 
358, FCHSD2 
359, NEK11 
360, AKIRIN2 
361, CHORDC1 
362, HABP2 
363, MAN1A2 
364, C6orf97 
365, FYB 
366, XRN2 
367, TNPO3 
368, GABRB3 
369, TTC25 
370, CLCN3 
371, QKI 
372, TERF2 
373, FEZ1 
374, PRMT10 
375, GMPR 
376, PET112L 
377, ENTPD1 
378, C1orf55 
379, DLSTP 
380, EML4 
381, FNBP4 
382, LMO7 
383, TMIGD1 
384, C5orf51 
385, NEDD9 
386, NEDD9 
387, TTF2 
388, MAPK10 
389, ITFG1 
390, POSTN 
391, ZNF318 
392, FNDC3B 
393, GRIN3A 
394, ANKRD42 
395, AMDHD1 
396, NCAPG2 
397, MYOF 
398, GPR155 
399, NSMAF 
400, ANKMY2 
401, COG5 
402, ANXA13 
403, MYB 
404, RPGRIP1L 
405, ADNP 
406, PPM1D 
407, GBF1 
408, AHR 
409, ENPP1 
410, ADPRH 
411, ZDHHC2 
412, RHOBTB3 
413, PPFIBP2 
414, CSMD2 
415, EYA3 
416, ALCAM 
417, INSC 
418, VAV3 
419, SORCS1 
420, RAB22A 
421, LRIG3 
422, MTF1 
423, RBM20 
424, GAN 
425, CDKL5 
426, CCDC111 
427, SLC25A24 
428, UNC5D 
429, CASP9 
430, MYOT 
431, VCAN 
432, LSG1 
433, COPB1 
434, ZNF507 
435, CACNB2 
436, CREBBP 
437, TOMM70A 
438, SNAP91 
439, C3orf67 
440, SIM1 
441, PARD3 
442, SPHKAP 
443, C1orf58 
444, PTPRG 
445, C21orf66 
446, IFIH1 
447, COL4A4 
